timestamp,latitude,longitude,altitude,bearing,speed,provider,run_id,turn_id,severity,aggressive,direction
1408346373372,-33.9296249391963,18.8666400674251,139.551022047169,0.0,0,gps,1,,,,
1408346374368,-33.9296249391963,18.8666400674251,168.789416274717,0.0,0,gps,1,,,,
1408346375371,-33.9296249391963,18.8666400674251,169.481175300885,0.0,0,gps,1,,,,
1408346376380,-33.9296249391963,18.8666400674251,149.027331156167,0.0,0,gps,1,,,,
1408346377378,-33.9296249391963,18.8666400674251,142.322968885336,0.0,0,gps,1,,,,
1408346378380,-33.9296249391963,18.8666400674251,144.908356326841,0.0,0,gps,1,,,,
1408346379388,-33.9296249391963,18.8666400674251,133.403391563397,0.0,0,gps,1,,,,
1408346379999,-33.9296249391963,18.8666400674251,131.743563938671,0.0,0,gps,1,,,,
1408346380999,-33.9296249391963,18.8666400674251,135.727176057374,0.0,0,gps,1,,,,
1408346381999,-33.9295918984162,18.8667357997926,135.981214975016,0.0,1.51916480064392,gps,1,,,,
1408346382999,-33.9295891931783,18.8667708715248,138.150450068617,0.0,1.80965328216553,gps,1,,,,
1408346383999,-33.9295848593185,18.8668200325002,135.992400951738,0.0,2.18792915344238,gps,1,,,,
1408346384999,-33.9295807744281,18.8668568799026,137.010970290739,87.9357681274414,2.51945042610168,gps,1,,,,
1408346385999,-33.9295735499647,18.8669019940751,137.599549216858,85.4395141601562,2.96019077301025,gps,1,,,,
1408346386999,-33.9295593145132,18.866944141049,137.7781963122,75.4412460327148,3.0528130531311,gps,1,,,,
1408346387999,-33.9295402552192,18.8670039801896,138.286242997908,74.5868148803711,3.39640021324158,gps,1,,,,
1408346388999,-33.9295218000604,18.8670570381528,136.97569723274,72.8667221069336,3.74693918228149,gps,1,,,,
1408346389999,-33.9295051732579,18.8671108564935,136.336763066494,72.4836959838867,4.37845468521118,gps,1,,,,
1408346390999,-33.9294836509911,18.8671882027971,135.849145854015,71.9991149902344,4.41190576553345,gps,1,,,,
1408346391999,-33.9294639083843,18.8672471071484,135.235874320119,68.5239868164063,3.91801905632019,gps,1,,,,
1408346392999,-33.9294506792189,18.8672819811088,134.198879470601,68.5157928466797,3.45429491996765,gps,1,,,,
1408346393999,-33.9294396557401,18.8673082007867,133.872659559512,69.4464950561523,2.91197562217712,gps,1,,,,
1408346394999,-33.9294289582602,18.8673340433797,134.596053536426,72.43896484375,2.80228781700134,gps,1,,,,
1408346395999,-33.9294163653572,18.8673678532955,135.577673981071,69.2272186279297,2.85202765464783,gps,1,,,,
1408346396999,-33.929402127007,18.8674112799875,135.910269887614,70.0081253051758,3.4866771697998,gps,1,,,,
1408346397999,-33.9293881665291,18.8674596721951,135.387779818162,69.6564102172852,4.44575023651123,gps,1,,,,
1408346398999,-33.9293741466069,18.8675125538097,134.005330899815,70.2542877197266,4.92198753356934,gps,1,,,,
1408346399999,-33.9293581921779,18.867570493025,133.150378273917,70.1567230224609,5.17500400543213,gps,1,,,,
1408346400999,-33.9293411988655,18.8676295339053,133.072021713752,69.569091796875,5.41131544113159,gps,1,,,,
1408346401999,-33.9293226229431,18.8676903913916,133.084990182628,69.7070693969727,5.42534637451172,gps,1,,,,
1408346402999,-33.9293049670669,18.8677468431316,133.517719681777,69.7359161376953,5.43354320526123,gps,1,,,,
1408346403999,-33.9292867681064,18.8677971817978,133.985751432954,66.8470306396484,5.40456056594849,gps,1,,,,
1408346404999,-33.9292692404725,18.8678563456702,134.345388686011,70.8998718261719,5.35503149032593,gps,1,,,,
1408346405999,-33.9292477970858,18.8679123783224,134.519144198787,65.534294128418,5.3375506401062,gps,1,,,,
1408346406999,-33.9292255932973,18.8679720090516,134.846095104406,66.3322906494141,5.31922006607056,gps,1,,,,
1408346407999,-33.9292053272437,18.868028168314,135.573189934952,64.2107391357422,5.24888467788696,gps,1,,,,
1408346408999,-33.9291883351019,18.8680759579004,136.416130245528,63.3172035217285,5.15568876266479,gps,1,,,,
1408346409999,-33.9291732008351,18.8681158101477,136.484793683658,62.6747932434082,5.04136371612549,gps,1,,,,
1408346410999,-33.9291625039758,18.8681482704218,136.563960632771,63.0153198242187,4.88424634933472,gps,1,,,,
1408346411999,-33.9291534585581,18.8681809163608,136.627609859953,64.298469543457,4.72424221038818,gps,1,,,,
1408346412999,-33.929147385804,18.868211785231,136.676863287543,68.1548843383789,4.54257869720459,gps,1,,,,
1408346413999,-33.9291422762917,18.8682393393278,136.740808839256,71.7472915649414,4.34119892120361,gps,1,,,,
1408346414999,-33.9291333230756,18.8682622380947,136.785830523781,61.8197479248047,4.10931730270386,gps,1,,,,
1408346415999,-33.9291258322886,18.8682767793384,136.837424597844,61.981761932373,3.87535047531128,gps,1,,,,
1408346416999,-33.9291244180682,18.8682784459861,136.92908062444,65.1225357055664,0,gps,1,,,,
1408346417999,-33.9291284837387,18.8682661315249,137.035940617813,63.0590591430664,0,gps,1,,,,
1408346418999,-33.9291302817214,18.868261019044,137.110209821853,71.7654266357422,0,gps,1,,,,
1408346419999,-33.9291281743181,18.8682593989805,137.126387015682,58.0108032226562,0,gps,1,,,,
1408346420999,-33.9291269625708,18.868258204833,137.126748124391,68.948486328125,0,gps,1,,,,
1408346421999,-33.9291213836403,18.868277513706,137.077064299957,76.0774154663086,0,gps,1,,,,
1408346422999,-33.9291187978706,18.8683221703501,137.032107248138,93.046630859375,2.5499804019928,gps,1,,,,
1408346423999,-33.9291134488386,18.8683802181848,137.004953749287,85.2076416015625,2.53181910514832,gps,1,,,,
